一	yī	ein	one	4
是	shì	sei	is, to be	4
我	wǒ	we / wir	I, me	4
们	men	Menge	plural marker	4
为	wèi	why / weil	for, because of	4
国	guó	Gau / KUR	country, state	4
说	shuō	say	speak, say	4
就	jiù	just	just, right away, then	4
可	kě	can	can, may	4
而	ér	or	and, but, yet	4
自	zì	seit	from, since; self	4
过	guò	go / cross	pass, cross over	4
后	hòu	hind	behind, after	4
然	rán	right	right, correct; so	4
成	chéng	change	become, accomplish	4
多	duō	too (much)	many, much	4
帆	fān	fan (wind)	sail	4
幡	fān	Fahne	banner	5
樊	fán	fence	cage, fence	4
蕃	fán	fan out	flourishing	4
泛	fàn	pan-	broad, general, float	4
房	fáng	Windfang	house, room	4
防	fáng	fend / fence	defend, guard against	5
仿	fǎng	feign	imitate	4
放	fàng	¬Fang (un-catch)	release, let go	4
非	fēi	faux / fake	non-, not	4
飞	fēi	fly	fly	4
绯	fēi	fire	dark red	4
腓	féi	Ferse	calf of leg	4
斐	fěi	fine	elegant	4
诽	fěi	fake news	slander	4
费	fèi	fee	cost, fee	5
废	fèi	fade	abolish, waste, crippled	4
锋	fēng	fencing	blade edge, vanguard	4
凤	fèng	phoenix	phoenix	4
俸	fèng	Pfennig / penny	salary	4
佛	fó	Buddha	Buddha	4
肤	fū	fur	skin	5
现	xiàn	seen / Schein	appear, now	4
天	tiān	day'n	day, sky	4
进	jìn	going (in)	enter, advance	4
心	xīn	sense	heart, mind	4
日	rì	ray	sun, day	4
军	jūn	junta	army	5
意	yì	idea	meaning, idea	4
第	dì	digit	ordinal prefix	4
公	gōng	koine	public, common	4
外	wài	away	outside	4
将	jiāng	going (to)	will, shall	4
由	yóu	due (to)	from, cause	4
问	wèn	when?	ask	4
战	zhàn	Zank	fight, war	4
见	jiàn	seen	see	4
果	guǒ	guava / gourd	fruit	4
代	dài	dynasty	era, generation	4
信	xìn	sign	letter, believe, sign	4
各	gè	jeweils	each	4
口	kǒu	Kehle / Kuhle	mouth	4
认	rèn	recon	recognize	4
平	píng	plain	flat, level	4
更	gèng	change	change; more	4
别	bié	bye	leave, separate; don't	4
打	dǎ	dozen	dozen; hit	4
变	biàn	bend	change	4
数	shù	sum	count, number	4
少	shǎo	short	few, little	4
报	bào	paper	newspaper, report	4
受	shòu	shoulder	bear, endure	4
接	jiē	join	connect, receive	4
市	shì	city	market, city	4
决	jué	judge	decide	4
马	mǎ	mare	horse	5
光	guāng	Glanz	light, bright	4
设	shè	set	set up, establish	4
色	sè	shade	color	4
路	lù	rue	road	4
求	qiú	query	seek, request	4
北	běi	back	north	4
死	sǐ	siech	die	4
取	qǔ	choose	take, fetch	4
观	guān	guck	look at, observe	4
院	yuàn	yard	courtyard, institution	4
导	dǎo	Duce	lead, guide	4
根	gēn	gene	root	4
车	chē	car	vehicle	4
林	lín	Linde	woods, forest	4
始	shǐ	start	begin	4
叫	jiào	yell	call, shout	4
爱	ài	aimer	love	4
