#	EN	Tajik Cyrillic	Tajik	PIE	
1 	I 	ман 	man	mon mein	
2 	you (singular) 	ту 	tu	tu	
3 	he 	ӯ, вай 	u, vay		
4 	we 	мо 	mo	moi, mir	
5 	you (plural) 	шумо 	šumo	Seine…@Turk	
6 	they 	онҳо 	onho	on, eux	
7 	this 	ин 	in	na	
8 	that 	он 	on	na	
9 	here 	инҷо 	injo	in.ici	
10 	there 	онҷо 	onjo	in.ici	
11 	who 	кӣ 	ki	qui	
12 	what 	чӣ 	chi	que	
13 	where 	куҷо 	kujo	que.wo	
14 	when 	кай 	kay	quan	
15 	how 	чихел 	chixel		
16 	not 	на 	na	no	
17 	all 	ҳама 	hama	hūmantes@Hittite <> ha.mind ha.many common 𐌇𐌄𐌅𐌀 Hevery	
18 	many 	бисёр 	bisyor		
19 	some 	ягон 	yagon		
20 	few 	кам 	kam	kaum	
21 	other 	дигар 	digar	Digar=man	
22 	one 	як 	yak	eyn eyk 𓁺	
23 	two 	ду 	du	duor 𓂈𓂈	
24 	three 	се 	se	cre ceen san 𓄑 Щ	
25 	four 	чор 	chor	qvtor	
26 	five 	панҷ 	panj		
27 	big 	калон 	kalon	kar™.on	
28 	long 	дароз 	daroz	dar™.os	
29 	wide 	фарох 	farox	far™.os	
30 	thick 	ғафс 	ghafs	गाढ़ा gāṛhā girafs?	
31 	heavy 	вазнин, сангин 	vaznin, sangin		
32 	small 	хурд 	xurd	kurdz	
33 	short 	кӯтоҳ, паст 	kutoh, past	cute	
34 	narrow 	танг 	tang	tEng ++	
35 	thin 	тунук 	tunuk	thin.ig	
36 	woman 	зан 	zan	gyne san さん	
37 	man (adult male) 	мард 	mard	Martin	
38 	man (human being) 	инсон, одам 	inson, odam	insane son adam	
39 	child 	кӯдак 	kudak	kid	
40 	wife 	зан 	zan	gyne san さん	
41 	husband 	шавҳар 	šavhar		
42 	mother 	модар 	modar	🗸	🗸
43 	father 	падар 	padar	🗸	🗸
44 	animal 	ҷонвар 	jonvar		
45 	fish 	моҳӣ 	mohi	𓈗	
46 	bird 	парранда 	parranda	parrot	
47 	dog 	саг 	sag	saka~geter:köter	
48 	louse 	шипиш 	šipiš		
49 	snake 	мор 	mor	𓈗𓆙	
50 	worm 	кирм 	kirm	Gewürm (chrome)	
51 	tree 	дарахт 	daraxt	Tree.ast !	
52 	forest 	беша 	besha	boreal bo.shu 木术	<<
53 	stick 	чӯб 	chub	club	
54 	fruit 	мева 	meva	malve	
55 	seed 	тухм 	tuxm		
56 	leaf 	барг 	barg	~bark	
57 	root 	реша 	resha	~	🗸
58 	bark (of a tree) 	пӯсти дарахт 	pusti daraxt		
59 	flower 	гул 	gul		
60 	grass 	сабза 	sabza		
61 	rope 	арғамчин 	arghamchin		
62 	skin 	пӯст 	pust		
63 	meat 	гӯшт 	gušt		
64 	blood 	хун 	xun		
65 	bone 	устухон 	ustuxon		
66 	fat (noun) 	чарб 	charb		
67 	egg 	тухм 	tuxm		
68 	horn 	шох 	šox		
69 	tail 	дум 	dum		
70 	feather 	пар 	par		
71 	hair 	мӯй 	muy		
72 	head 	сар 	sar		
73 	ear 	гӯш 	gush		
74 	eye 	чашм 	chašm		
75 	nose 	бинӣ 	bini		
76 	mouth 	даҳон 	dahon		
77 	tooth 	дандон 	dandon		
78 	tongue (organ) 	забон 	zabon		
79 	fingernail 	нохун 	noxun		
80 	foot 	пой 	poy		
81 	leg 	линг 	ling		
82 	knee 	зону 	zonu		
83 	hand 	даст 	dast		
